vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical,department_prefill,category_prefill,description_prefill,suggestion_prefill,rule_id,needs_llm
Big Frontier Pty Ltd (Cult Of Monday),66131.0,big frontier pty ltd (cult of monday),big frontier,,,,,,True
Harmonic Group Limited,65418.0,harmonic group limited,harmonic group,,,,,,True
Wework Singapore Pte. Ltd.,64373.0,wework singapore pte. ltd.,wework singapore,Facilities,Coworking/Office,Flexible coworking and office space,Optimize costs,R007,False
Cloud Technology Solutions Ltd,60661.0,cloud technology solutions ltd,cloud technology solutions,IT,Security/IT Ops,IT consulting and managed services,Optimize costs,R022,False
"Navan, Inc",57929.0,"navan, inc",navan,Finance,Travel & Expense,Corporate travel booking and expense management,Consolidate,R006,False
Tmforum,57560.0,tmforum,tmforum,,,,,,True
Linkedin Ireland Limited,55573.0,linkedin ireland limited,linkedin ireland,Marketing,Marketing/SEO/PR,Professional networking and recruitment advertising,Optimize costs,R012,False
Kimble Applications Ltd,52825.0,kimble applications ltd,kimble applications,,,,,,True
Sage Uk Limited,46895.0,sage uk limited,sage uk,Finance,Finance Systems,Financial planning and accounting software,Consolidate,R021,False
Grant Thornton,46539.0,grant thornton,grant thornton,Finance,Audit/Tax,Audit tax and financial advisory services,Consolidate,R009,False
"SveuäIliå¡Te U Zagrebu, Studentski Centar",44299.0,"sveu ili te u zagrebu, studentski centar","sveu ili te u zagrebu, studentski centar",,,,,,True
Ss&C Intralinks Inc,39966.0,ss&c intralinks inc,ss&c intralinks,,,,,,True
Veniture D.O.O.,39342.0,veniture d.o.o.,veniture,,,,,,True
Accutrainee Limited,38841.0,accutrainee limited,accutrainee,,,,,,True
Mason Frank International Ltd,38148.0,mason frank international ltd,mason frank international,HR,Recruiting,Talent acquisition and recruitment services,Consolidate,R011,False
"Houlihan Lokey Advisors, Llc",37461.0,"houlihan lokey advisors, llc",houlihan lokey advisors,,,,,,True
Vector Capital Management Lp,32427.0,vector capital management lp,vector capital management,,,,,,True
Hubspot Ireland Limited,32187.0,hubspot ireland limited,hubspot ireland,Marketing,CRM,Marketing automation and CRM platform,Consolidate,R002,False
Nefron - Obrt Za Poslovne Usluge,30614.0,nefron - obrt za poslovne usluge,nefron - obrt za poslovne usluge,,,,,,True
"Planful, Inc.",27741.0,"planful, inc.",planful,Finance,Finance Systems,Financial planning and accounting software,Consolidate,R021,False
Cognism Limited,27013.0,cognism limited,cognism,Sales,Sales Engagement,B2B contact data and sales intelligence,Consolidate,R018,False
Uberflip,26091.0,uberflip,uberflip,,,,,,True
Agram Life Osiguranje D.O.O.,24952.0,agram life osiguranje d.o.o.,agram life osiguranje,,,,,,True
Google Ireland Limited,24798.0,google ireland limited,google ireland,IT,Productivity/Collab,Workspace collaboration and productivity tools,Consolidate,R005,False
Zuric I Partneri Odvjetnicko Drustvo D.O.O.,24135.0,zuric i partneri odvjetnicko drustvo d.o.o.,zuric i partneri odvjetnicko drustvo,,,,,,True
Care Health Insurance Company Limited,24045.0,care health insurance company limited,care health insurance,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
New Star Networks(Nsn),23887.0,new star networks(nsn),new star networks,,,,,,True
Bupa- Supplier,22800.0,bupa- supplier,bupa- supplier,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Shree Info System Solutions Pvt Ltd,22275.0,shree info system solutions pvt ltd,shree info system solutions,,,,,,True
Technet It Recruitment,21952.0,technet it recruitment,technet it recruitment,HR,Recruiting,Talent acquisition and recruitment services,Consolidate,R011,False
Mightyhive Ltd,19042.0,mightyhive ltd,mightyhive,,,,,,True
Cedar Recruitment Ltd,18537.0,cedar recruitment ltd,cedar recruitment,HR,Recruiting,Talent acquisition and recruitment services,Consolidate,R011,False
Eurofast International Ltd-Greec,18164.0,eurofast international ltd-greec,eurofast international ltd-greec,,,,,,True
Hrvatski Telekom D.D.,18084.0,hrvatski telekom d.d.,hrvatski telekom,IT,Telecom,Telecommunications and mobile services,Consolidate,R008,False
Sodexo Svc India Private Limited,17810.0,sodexo svc india private limited,sodexo svc india private,,,,,,True
Peakon Aps,17108.0,peakon aps,peakon,,,,,,True
Plus Your Business Ltd,17074.0,plus your business ltd,plus your business,,,,,,True
Benefit Systems D.O.O.,16900.0,benefit systems d.o.o.,benefit systems,,,,,,True
Smart Group Services D.O.O.,16438.0,smart group services d.o.o.,smart group services,,,,,,True
Jones Lang Lasalle (Nsw) Pty Ltd,16274.0,jones lang lasalle (nsw) pty ltd,jones lang lasalle,,,,,,True
"Workato, Inc.",16101.0,"workato, inc.",workato,IT,Productivity/Collab,Integration and workflow automation platform,Optimize costs,R026,False
Konzum Plus D.O.O.,15684.0,konzum plus d.o.o.,konzum plus,,,,,,True
Westbrook Advisers,15360.0,westbrook advisers,westbrook advisers,,,,,,True
Work Easy Space Solutions Private Limited,14913.0,work easy space solutions private limited,work easy space solutions private,,,,,,True
"Taxstudio, Ltd.",14642.0,"taxstudio, ltd.",taxstudio,,,,,,True
Pingo D.O.O.,14508.0,pingo d.o.o.,pingo,,,,,,True
Magazin Raunalni Sistemi D.O.O.,13870.0,magazin raunalni sistemi d.o.o.,magazin raunalni sistemi,,,,,,True
Tp Prime D.O.O.,13785.0,tp prime d.o.o.,tp prime,,,,,,True
Granttree Limited,13659.0,granttree limited,granttree,,,,,,True
Cigna Sg,13249.0,cigna sg,cigna sg,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Collards Chartered Accountants,12879.0,collards chartered accountants,collards chartered accountants,,,,,,True
Bupa Australia,12463.0,bupa australia,bupa australia,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
4I Management Consulting Private Limited,12117.0,4i management consulting private limited,4i management consulting private,,,,,,True
"Grad Zagreb, Gradski Ured Za Prostorno Ureä‘Enje,..",11637.0,"grad zagreb, gradski ured za prostorno ure enje,..","grad zagreb, gradski ured za prostorno ure enje",,,,,,True
Bijeli Pijesak Obrt Za Poslovno Savjetovanje,11605.0,bijeli pijesak obrt za poslovno savjetovanje,bijeli pijesak obrt za poslovno savjetovanje,,,,,,True
Ramiro D.O.O.,11516.0,ramiro d.o.o.,ramiro,,,,,,True
Visalogic Limited,11241.0,visalogic limited,visalogic,,,,,,True
Poles Ltd - Hanbury Manor,10488.0,poles ltd - hanbury manor,poles ltd - hanbury manor,,,,,,True
Shoff Darby Companies,10100.0,shoff darby companies,shoff darby,,,,,,True
Emerge Development Consultancy Ltd,10046.0,emerge development consultancy ltd,emerge development consultancy,,,,,,True
Performancepro,10018.0,performancepro,performancepro,,,,,,True
Microsoft Ireland Operations Limited,9822.0,microsoft ireland operations limited,microsoft ireland operations,IT,Productivity/Collab,Office productivity and collaboration suite,Consolidate,R004,False
Catering Muring,9603.0,catering muring,catering muring,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
Omonia D.O.O.,9559.0,omonia d.o.o.,omonia,,,,,,True
Outreach Corporation,9206.0,outreach corporation,outreach,Sales,Sales Engagement,Sales engagement and automation platform,Consolidate,R017,False
Cbre Limited,8395.0,cbre limited,cbre,,,,,,True
Studentski Centar - Split,8269.0,studentski centar - split,studentski centar - split,,,,,,True
The Guardian,8070.0,the guardian,the guardian,,,,,,True
Intertrust Singapore Corporate Services Pte Ltd - Csc,7360.0,intertrust singapore corporate services pte ltd - csc,intertrust singapore corporate services pte ltd - csc,,,,,,True
Goto Technologies Uk Limited,7316.0,goto technologies uk limited,goto technologies uk,,,,,,True
Hrsolution International Ag,6987.0,hrsolution international ag,hrsolution international,,,,,,True
Trello,6674.0,trello,trello,Product,Productivity/Collab,Project management and task tracking,Consolidate,R014,False
Obrt Sjaj Sunca,6596.0,obrt sjaj sunca,obrt sjaj sunca,,,,,,True
Telefã³Nica Compras Electrã³Nicas S.L.,6157.0,telef nica compras electr nicas s.l.,telef nica compras electr nicas,,,,,,True
Allianz Australia Workers' Compensation (Victoria) Limited,6099.0,allianz australia workers' compensation (victoria) limited,allianz australia workers' compensation,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Icici Lombard Gic Ltd,5972.0,icici lombard gic ltd,icici lombard gic,,,,,,True
Mosaic Concept D.O.O.,5731.0,mosaic concept d.o.o.,mosaic concept,,,,,,True
Limes Plus D.O.O.,5624.0,limes plus d.o.o.,limes plus,,,,,,True
Mercer Limited,5444.0,mercer limited,mercer,,,,,,True
Acclime Corporate Services,5413.0,acclime corporate services,acclime corporate services,,,,,,True
Green Commute Initiative,5402.0,green commute initiative,green commute initiative,,,,,,True
Tattu Manchester Limited,5366.0,tattu manchester limited,tattu manchester,,,,,,True
Athlete Service Ltd,5285.0,athlete service ltd,athlete service,,,,,,True
Amazon Web Services Inc.,5153.0,amazon web services inc.,amazon web services,IT,Cloud,Cloud infrastructure and computing services,Optimize costs,R003,False
Telemach Hrvatska D.O.O.,5134.0,telemach hrvatska d.o.o.,telemach hrvatska,,,,,,True
"Acclime Usa, Inc",4995.0,"acclime usa, inc",acclime usa,,,,,,True
Centar Za Sigurnost D.O.O.,4991.0,centar za sigurnost d.o.o.,centar za sigurnost,,,,,,True
Profi Bar D.O.O.,4917.0,profi bar d.o.o.,profi bar,,,,,,True
Pricewaterhousecoopers Llp,4879.0,pricewaterhousecoopers llp,pricewaterhousecoopers,Finance,Audit/Tax,Audit tax and financial advisory services,Consolidate,R009,False
Pinnacle Partnership Ca,4836.0,pinnacle partnership ca,pinnacle partnership ca,,,,,,True
The Virtual Legal Counsel Ltd,4800.0,the virtual legal counsel ltd,the virtual legal counsel,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Australian Payroll Professionals Pty Ltd,4399.0,australian payroll professionals pty ltd,australian payroll professionals,,,,,,True
Inter Continental Chennai Mahabalipuram Resort,4393.0,inter continental chennai mahabalipuram resort,inter continental chennai mahabalipuram resort,,,,,,True
Jetbrains S.R.O.,4083.0,jetbrains s.r.o.,jetbrains,Engineering,Productivity/Collab,Integrated development environment IDE software,Optimize costs,R028,False
