vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical
Post Office Ltd,32.0,post office ltd,post office
Currys Pc World,30.0,currys pc world,currys pc world
Brodomerkur D.D.,29.0,brodomerkur d.d.,brodomerkur
Sport Vision D.O.O.,26.0,sport vision d.o.o.,sport vision
Harissa D.O.O.,21.0,harissa d.o.o.,harissa
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,20.0,specijalisticka ordinacija medicine rada i sporta ina kardos,specijalisticka ordinacija medicine rada i sporta ina kardos
Specijalisticka Ordinacija Medicine Rada Helena Blazic,20.0,specijalisticka ordinacija medicine rada helena blazic,specijalisticka ordinacija medicine rada helena blazic
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,20.0,ustanova za medicinu rada i sporta dr. novacki,ustanova za medicinu rada i sporta dr. novacki
M&S Simply Food,19.0,m&s simply food,m&s simply food
Bakemono Bakers Melbourne,18.0,bakemono bakers melbourne,bakemono bakers melbourne
Coles,18.0,coles,coles
